Date,Close
2023/5/22,100.74
2023/5/23,101.03
2023/5/24,100.53
2023/5/25,100.28
2023/5/26,101.09
2023/5/30,102.1
2023/5/31,102.99
2023/6/1,103.12
2023/6/2,101.99
2023/6/5,101.8
2023/6/6,102.4
2023/6/7,100.88
2023/6/8,102.06
2023/6/9,101.92
2023/6/12,102.22
2023/6/13,101.21
2023/6/14,102.02
2023/6/15,103
2023/6/16,102.6
2023/6/20,103.31
2023/6/21,103.56
2023/6/22,102.31
2023/6/23,103.33
2023/6/26,103.44
2023/6/27,103.17
2023/6/28,103.61
2023/6/29,101.74
2023/6/30,102.94
2023/7/3,102.08
2023/7/5,101.11
2023/7/6,99.68
2023/7/7,99.08
2023/7/10,99.21
2023/7/11,99.72
2023/7/12,100.83
2023/7/13,101.89
2023/7/14,101.29
2023/7/17,101.34
2023/7/18,101.8
2023/7/19,102.95
2023/7/20,101.7
2023/7/21,101.73
2023/7/24,101.36
2023/7/25,101.17
2023/7/26,101.27
2023/7/27,99.3
2023/7/28,99.81
2023/7/31,100.05
2023/8/1,98.14
2023/8/2,97.09
2023/8/3,94.85
2023/8/4,96.53
2023/8/7,95.58
2023/8/8,96.69
2023/8/9,97.19
2023/8/10,95.59
2023/8/11,95.37
2023/8/14,95.16
2023/8/15,94.58
2023/8/16,93.84
2023/8/17,93.44
2023/8/18,93.77
2023/8/21,92.52
2023/8/22,93.23
2023/8/23,95.54
2023/8/24,94.91
2023/8/25,95.22
2023/8/28,95.32
2023/8/29,96.31
2023/8/30,96.21
2023/8/31,96.64
2023/9/1,94.85
2023/9/5,93.52
2023/9/6,93.75
2023/9/7,94.01
2023/9/8,94.37
2023/9/11,93.69
2023/9/12,94.23
2023/9/13,94.21
2023/9/14,93.53
2023/9/15,92.96
2023/9/18,93.49
2023/9/19,92.8
2023/9/20,93.09
2023/9/21,90.7
2023/9/22,91.43
2023/9/25,89.18
2023/9/26,88.87
2023/9/27,88.41
2023/9/28,88.68
2023/9/29,88.69
2023/10/2,86.93
2023/10/3,85.06
2023/10/4,86.26
2023/10/5,85.83
2023/10/6,84.79
2023/10/9,86.78
2023/10/10,86.66
2023/10/11,88.47
2023/10/12,86.07
2023/10/13,87.61
2023/10/16,86.2
2023/10/17,85.25
2023/10/18,84.5
2023/10/19,82.77
2023/10/20,83.24
2023/10/23,84.24
2023/10/24,85.35
2023/10/25,83.45
2023/10/26,84.73
2023/10/27,84.37
2023/10/30,83.99
2023/10/31,83.58
2023/11/1,85.1
2023/11/2,87.04
2023/11/3,87.63
2023/11/6,86.78
2023/11/7,88.06
2023/11/8,89.56
2023/11/9,87.5
2023/11/10,87.99
2023/11/13,87.79
2023/11/14,89.78
2023/11/15,88.52
2023/11/16,89.62
2023/11/17,90.04
2023/11/20,90.59
2023/11/21,90.55
2023/11/22,90.87
2023/11/24,89.8
2023/11/27,91.3
2023/11/28,91.48
2023/11/29,92.63
2023/11/30,91.56
2023/12/1,92.99
2023/12/4,92.62
2023/12/5,94.61
2023/12/6,95.87
2023/12/7,95.32
2023/12/8,94.54
2023/12/11,94.34
2023/12/12,94.62
2023/12/13,96.84
2023/12/14,99.04
2023/12/15,99.15
2023/12/18,98.36
2023/12/19,98.89
2023/12/20,99.56
2023/12/21,98.93
2023/12/22,98.48
2023/12/26,98.76
2023/12/27,100.51
2023/12/28,99.78
2023/12/29,98.88
2024/1/2,98.31
2024/1/3,98.72
2024/1/4,97.22
2024/1/5,96.29
2024/1/8,97.24
2024/1/9,96.62
2024/1/10,96.17
2024/1/11,96.71
2024/1/12,96.52
2024/1/16,94.82
2024/1/17,94.67
2024/1/18,93.79
2024/1/19,94.09
2024/1/22,94.65
2024/1/23,93.9
2024/1/24,93.35
2024/1/25,93.96
2024/1/26,93.78
2024/1/29,94.86
2024/1/30,95.72
2024/1/31,96.66
2024/2/1,98.24
2024/2/2,96.07
2024/2/5,94.13
2024/2/6,95.05
2024/2/7,94.59
2024/2/8,94.04
2024/2/9,93.85
2024/2/12,93.96
2024/2/13,92.35
2024/2/14,92.82
2024/2/15,93.3
2024/2/16,92.76
2024/2/20,92.84
2024/2/21,92.18
2024/2/22,92.63
2024/2/23,93.87
2024/2/26,93.59
2024/2/27,92.93
2024/2/28,93.52
2024/2/29,94.18
2024/3/1,94.47
2024/3/4,94.09
2024/3/5,95.43
2024/3/6,95.99
2024/3/7,95.9
2024/3/8,95.73
2024/3/11,95.68
2024/3/12,94.88
2024/3/13,94.42
2024/3/14,92.97
2024/3/15,92.94
2024/3/18,92.66
2024/3/19,92.92
2024/3/20,92.89
2024/3/21,93.09
2024/3/22,93.98
2024/3/25,93.51
2024/3/26,93.77
2024/3/27,94.7
2024/3/28,94.62
2024/4/1,92.55
2024/4/2,92.04
2024/4/3,92.02
2024/4/4,92.68
2024/4/5,91.39
2024/4/8,91.38
2024/4/9,92.23
2024/4/10,90.22
2024/4/11,89.81
2024/4/12,90.29
2024/4/15,88.89
2024/4/16,88.3
2024/4/17,89.28
2024/4/18,88.83
2024/4/19,89.15
2024/4/22,89
2024/4/23,89.03
2024/4/24,88.4
2024/4/25,87.78
2024/4/26,88.24
2024/4/29,88.98
2024/4/30,88.22
2024/5/1,88.56
2024/5/2,88.94
2024/5/3,89.84
2024/5/6,90.19
2024/5/7,90.74
2024/5/8,90.19
2024/5/9,90.63
2024/5/10,90.12
2024/5/13,90.35
2024/5/14,90.86
2024/5/15,92.1
2024/5/16,92.01
2024/5/17,91.39
2024/5/20,91.12
2024/5/21,91.59
2024/5/22,91.7
2024/5/23,91.11
2024/5/24,91.38
2024/5/28,90.07
2024/5/29,88.98
2024/5/30,89.84
2024/5/31,90.45
2024/6/3,91.6
2024/6/4,92.67
2024/6/5,93.35
2024/6/6,93.21
2024/6/7,91.5
2024/6/10,90.89
2024/6/11,91.83
2024/6/12,92.52
2024/6/13,93.88
2024/6/14,94.67
2024/6/17,93.73
2024/6/18,94.59
2024/6/20,93.96
2024/6/21,93.96
2024/6/24,94.34
2024/6/25,94.5
2024/6/26,93.15
2024/6/27,93.52
2024/6/28,91.78
2024/7/1,89.91
2024/7/2,90.61
2024/7/3,91.8
2024/7/5,92.56
2024/7/8,92.76
2024/7/9,92.35
2024/7/10,92.64
2024/7/11,93.54
2024/7/12,93.94
2024/7/15,92.86
2024/7/16,94.17
2024/7/17,94.19
2024/7/18,93.47
2024/7/19,92.92
2024/7/22,92.65
2024/7/23,92.52
2024/7/24,91.52
2024/7/25,92.27
2024/7/26,92.99
2024/7/29,93.49
2024/7/30,93.85
2024/7/31,94.81
2024/8/1,95.31
2024/8/2,98.28
2024/8/5,98.8
2024/8/6,96.59
2024/8/7,95.91
2024/8/8,95.32
2024/8/9,96.26
2024/8/12,96.61
2024/8/13,97.28
2024/8/14,97.89
2024/8/15,97.1
2024/8/16,97.44
2024/8/19,97.89
2024/8/20,98.67
2024/8/21,98.73
2024/8/22,97.75
2024/8/23,98.39
2024/8/26,98.14
2024/8/27,97.97
2024/8/28,97.85
2024/8/29,97.53
2024/8/30,96.49
2024/9/3,97.75
2024/9/4,99.01
2024/9/5,99.57
2024/9/6,99.56
2024/9/9,99.99
2024/9/10,100.69
2024/9/11,100.61
2024/9/12,100.14
2024/9/13,100.41
2024/9/16,101.33
2024/9/17,100.84
2024/9/18,99.59
2024/9/19,99.26
2024/9/20,98.88
2024/9/23,98.67
2024/9/24,98.65
2024/9/25,97.83
2024/9/26,98.06
2024/9/27,98.57
2024/9/30,98.1
2024/10/1,98.49
2024/10/2,97.66
2024/10/3,96.74
2024/10/4,95.55
2024/10/7,94.83
2024/10/8,94.99
2024/10/9,94.45
2024/10/10,94.08
2024/10/11,93.7
2024/10/14,93.77
2024/10/15,94.91
2024/10/16,95.31
2024/10/17,93.8
2024/10/18,93.87
2024/10/21,92.23
2024/10/22,92.32
2024/10/23,92.07
2024/10/24,92.66
2024/10/25,92.14
2024/10/28,91.89
2024/10/29,92.03
