,Close
2022-10-13,99.39
2022-10-14,98.57
2022-10-15,98.57
2022-10-16,98.57
2022-10-17,98.09
2022-10-18,98.32
2022-10-19,96.53
2022-10-20,94.88
2022-10-21,93.17
2022-10-22,93.17
2022-10-23,93.17
2022-10-24,92.4
2022-10-25,95.09
2022-10-26,96.46
2022-10-27,97.47
2022-10-28,96.8
2022-10-29,96.8
2022-10-30,96.8
2022-10-31,96.11
2022-11-01,96.77
2022-11-02,96.35
2022-11-03,95.83
2022-11-04,94.22
2022-11-05,94.22
2022-11-06,94.22
2022-11-07,93.28
2022-11-08,94.3
2022-11-09,94.61
2022-11-10,98.25
2022-11-11,97.89
2022-11-12,97.89
2022-11-13,97.89
2022-11-14,97.65
2022-11-15,99.23
2022-11-16,101.4
2022-11-17,100.33
2022-11-18,99.64
2022-11-19,99.64
2022-11-20,99.64
2022-11-21,100.06
2022-11-22,101.48
2022-11-23,103.25
2022-11-24,103.25
2022-11-25,102.9
2022-11-26,102.9
2022-11-27,102.9
2022-11-28,103.19
2022-11-29,101.98
2022-11-30,102.73
2022-12-01,105.76
2022-12-02,107.09
2022-12-03,107.09
2022-12-04,107.09
2022-12-05,105.59
2022-12-06,106.95
2022-12-07,109.47
2022-12-08,109.17
2022-12-09,106.33
2022-12-10,106.33
2022-12-11,106.33
2022-12-12,106.67
2022-12-13,107.7
2022-12-14,108.16
2022-12-15,108.32
2022-12-16,107.11
2022-12-17,107.11
2022-12-18,107.11
2022-12-19,105.31
2022-12-20,103.44
2022-12-21,103.7
2022-12-22,103.68
2022-12-23,102.16
2022-12-24,102.16
2022-12-25,102.16
2022-12-26,102.16
2022-12-27,100.14
2022-12-28,99.55
2022-12-29,100.68
2022-12-30,99.56
2022-12-31,99.56
2023-01-01,99.56
2023-01-02,99.56
2023-01-03,101.46
2023-01-04,102.85
2023-01-05,103.28
2023-01-06,105.18
2023-01-07,105.18
2023-01-08,105.18
2023-01-09,105.74
2023-01-10,103.99
2023-01-11,105.68
2023-01-12,107.76
2023-01-13,106.75
2023-01-14,106.75
2023-01-15,106.75
2023-01-16,106.75
2023-01-17,106.06
2023-01-18,108.63
2023-01-19,107.95
2023-01-20,106.2
2023-01-21,106.2
2023-01-22,106.2
2023-01-23,105.7
2023-01-24,107.22
2023-01-25,107.48
2023-01-26,106.98
2023-01-27,106.71
2023-01-28,106.71
2023-01-29,106.71
2023-01-30,106.32
2023-01-31,107.17
2023-02-01,108.18
